Date,Open,High,Low,Close,Adj Close,Volume
2021-10-08,0.900000,3.200000,0.800000,1.900000,1.900000,11203810
2021-10-11,2.500000,3.100000,1.950000,1.990000,1.990000,6140663
2021-10-12,2.130000,2.350000,1.800000,2.050000,2.050000,2752217
2021-10-13,2.050000,2.150000,1.640000,1.800000,1.800000,1434802
2021-10-14,1.750000,1.750000,1.400000,1.550000,1.550000,2952928
2021-10-15,1.550000,1.830000,1.500000,1.690000,1.690000,1559705
2021-10-18,1.510000,1.790000,1.450000,1.610000,1.610000,2033911
2021-10-19,1.750000,1.790000,1.520000,1.600000,1.600000,1348310
2021-10-20,1.550000,1.580000,1.500000,1.540000,1.540000,850594
2021-10-21,1.540000,1.550000,1.350000,1.410000,1.410000,1729615
2021-10-22,1.310000,1.350000,1.100000,1.240000,1.240000,2676768
2021-10-25,1.200000,1.240000,1.100000,1.150000,1.150000,1365248
2021-10-26,1.100000,1.190000,1.100000,1.150000,1.150000,969045
2021-10-27,1.080000,1.170000,1.080000,1.160000,1.160000,939866
2021-10-28,1.180000,1.210000,1.100000,1.190000,1.190000,820566
2021-10-29,1.200000,1.300000,1.160000,1.280000,1.280000,615374
2021-11-01,1.280000,1.620000,1.250000,1.600000,1.600000,1188578
2021-11-02,1.600000,1.760000,1.470000,1.560000,1.560000,1143645
2021-11-03,1.640000,1.700000,1.450000,1.570000,1.570000,674385
2021-11-04,1.500000,1.700000,1.480000,1.630000,1.630000,953767
2021-11-05,1.560000,1.690000,1.500000,1.690000,1.690000,893582
2021-11-08,1.680000,1.840000,1.570000,1.830000,1.830000,1582865
2021-11-09,1.700000,1.850000,1.700000,1.760000,1.760000,703939
2021-11-10,1.750000,1.770000,1.580000,1.650000,1.650000,1065412
2021-11-11,1.520000,1.720000,1.520000,1.710000,1.710000,620751
2021-11-12,1.710000,1.720000,1.640000,1.670000,1.670000,699090
2021-11-15,1.620000,1.702000,1.620000,1.640000,1.640000,732276
2021-11-16,1.640000,1.645000,1.520000,1.590000,1.590000,841568
2021-11-17,1.570000,1.590000,1.450000,1.560000,1.560000,786822
2021-11-18,1.600000,1.600000,1.380000,1.400000,1.400000,887055
2021-11-19,1.420000,1.550000,1.420000,1.530000,1.530000,766968
2021-11-22,1.530000,1.730000,1.520000,1.570000,1.570000,1112650
2021-11-23,1.530000,1.660000,1.510000,1.550000,1.550000,804848
2021-11-24,1.550000,1.700000,1.530000,1.700000,1.700000,850919
2021-11-26,1.600000,1.700000,1.600000,1.650000,1.650000,688908
2021-11-29,1.850000,1.900000,1.630000,1.850000,1.850000,1268902
2021-11-30,1.850000,2.000000,1.810000,1.870000,1.870000,1402694
2021-12-01,1.880000,1.980000,1.850000,1.900000,1.900000,1240560
2021-12-02,1.890000,1.950000,1.870000,1.910000,1.910000,827345
2021-12-03,1.950000,2.090000,1.250000,1.360000,1.360000,3361602
