SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
2021-10-15,59134N203,MMTLP,2007995,META MATLS INC PFD SER A,1.55
2021-10-18,59134N203,MMTLP,1421815,META MATLS INC PFD SER A,1.69
2021-10-19,59134N203,MMTLP,1455266,META MATLS INC PFD SER A,1.61
2021-10-20,59134N203,MMTLP,605468,META MATLS INC PFD SER A,1.60
2021-10-21,59134N203,MMTLP,615621,META MATLS INC PFD SER A,1.54
2021-10-22,59134N203,MMTLP,9246,META MATLS INC PFD SER A,1.41
2021-10-25,59134N203,MMTLP,25877,META MATLS INC PFD SER A,1.24
2021-10-26,59134N203,MMTLP,3078,META MATLS INC PFD SER A,1.15
2021-10-27,59134N203,MMTLP,39521,META MATLS INC PFD SER A,1.15
2021-10-28,59134N203,MMTLP,73316,META MATLS INC PFD SER A,1.16
2021-10-29,59134N203,MMTLP,88943,META MATLS INC PFD SER A,1.19
2021-11-01,59134N203,MMTLP,121490,META MATLS INC PFD SER A,1.28
2021-11-02,59134N203,MMTLP,122174,META MATLS INC PFD SER A,1.60
2021-11-03,59134N203,MMTLP,70462,META MATLS INC PFD SER A,1.56
2021-11-04,59134N203,MMTLP,15609,META MATLS INC PFD SER A,1.57
2021-11-05,59134N203,MMTLP,29849,META MATLS INC PFD SER A,1.63
2021-11-08,59134N203,MMTLP,44307,META MATLS INC PFD SER A,1.69
2021-11-09,59134N203,MMTLP,29466,META MATLS INC PFD SER A,1.83
2021-11-10,59134N203,MMTLP,48610,META MATLS INC PFD SER A,1.76
2021-11-12,59134N203,MMTLP,16426,META MATLS INC PFD SER A,1.71
2021-11-15,59134N203,MMTLP,74307,META MATLS INC PFD SER A,1.67
2021-11-16,59134N203,MMTLP,92147,META MATLS INC PFD SER A,1.64
2021-11-18,59134N203,MMTLP,9944,META MATLS INC PFD SER A,1.56
2021-11-19,59134N203,MMTLP,83425,META MATLS INC PFD SER A,1.40
2021-11-22,59134N203,MMTLP,27978,META MATLS INC PFD SER A,1.53
2021-11-23,59134N203,MMTLP,140720,META MATLS INC PFD SER A,1.57
2021-11-24,59134N203,MMTLP,19658,META MATLS INC PFD SER A,1.55
2021-11-26,59134N203,MMTLP,107042,META MATLS INC PFD SER A,1.70
2021-11-29,59134N203,MMTLP,16577,META MATLS INC PFD SER A,1.65
2021-11-30,59134N203,MMTLP,218752,META MATLS INC PFD SER A,1.85
2021-12-01,59134N203,MMTLP,349906,META MATLS INC PFD SER A,1.87
